bucket,XGBoost_acc,XGBoost_f1m,n,LSTM_acc,LSTM_f1m
2-2,0.5244408142749435,0.5579426830393457,63664,0.6106905001256597,0.5544823639204969
3-3,0.4137390664726482,0.43148294357051664,62537,0.42398899851288036,0.46078358903350825
4-4,0.33078300229698687,0.2914230652942485,59208,0.3759795973517092,0.36458524296554823
5-5,0.3576260993760806,0.3471349643982802,53212,0.43909268586033223,0.4388051980348249
6-7,0.37076265985910306,0.37849075793550613,81478,0.4634257100076094,0.4683251077050755
8-10,0.36771552196297513,0.4018753917200353,73032,0.4557865045459525,0.48076096574531124
11-200,0.39594698165096254,0.4518286349298453,88724,0.4364546233262702,0.486877337792237
