group,model,n_next,acc,f1_macro,mae_h
high (1-2),XGBoost,227122,0.4116598127878409,0.4341188818687076,3.881845381047007
high (1-2),LSTM,227122,0.4558871443541357,0.6292180797418846,3.853696584701538
low (3-5),XGBoost,247612,0.37580165743178845,0.49400617944137865,3.395407580110228
low (3-5),LSTM,247612,0.4605107991535144,0.5603899441203459,3.357717990875244
