bucket,XGBoost_mae,n,LSTM_mae
2-2,3.440890692407596,63664,3.4559683799743652
3-3,3.3815608000893635,62537,3.386117935180664
4-4,3.345625113847431,59208,3.339808940887451
5-5,3.4102780241526127,53212,3.379864454269409
6-7,3.592515414581724,81478,3.5446133613586426
8-10,3.842622653907073,73032,3.7725791931152344
11-200,4.015113189759592,88724,3.962212085723877
